Title,Author,Subject,Pages,Issue,Reviews
Point-Set Topology,M Padraig McLoughlin << Michel Smith << W.S. Mahavier << R.L. Moore,topology,21,No. 61 (Nov. 2025),Not yet
A First Course in College Calculus,Tulsi Srinivasan,calculus,18,No. 60 (Apr. 2025),Not yet
Discrete Math (Introduction to Proof),Rachel Schwell,discrete math,89,No. 59 (Apr. 2025),Not yet
The Story of Statistics: Inquiry based notes for introductory statistics,"Lindsey Bell, Nicholas Pritchard, and Douglas Weathers",statistics,184,No. 58 (Nov. 2024),Not yet
Finite Mathematics,Mindy Capaldi,finite math,92,No. 57 (Apr. 2023),Not yet
Precalculus: An Inquiry-Based Approach,"Howard, Paul K. < Mahavier, W. Ted",precalculus,140,No. 56 (Mar. 2023),Not yet
Mathematical Logic for the Humanities,Ryan P. Dunning,logic,68,No. 55 (Jan. 2023),Not yet
Complex Variables and Functions,"Bowman, Joshua P.",analysis (complex),97,No. 54 (May 2022),Not yet
Linear Algebra: Notes and Problems,"Long, Nicholas",linear algebra,78,No. 53 (Jan. 2022),Not yet
Introduction to Combinatorial Games,"Gantner, Ryan",game theory,52,No. 52 (Oct. 2020),Not yet
An Inquiry-Based Learning Approach to Mathematical Modeling,"Young, Andrea",modeling,62,No. 51 (July 2020),Not yet
Calculus I – Single Variable Calculus,"George, C. Yousuf; Lewis, Heather A.",calculus,90,No. 50 (May 2019),Not yet
Discrete Mathematics,"Clark, David M.; Mahavier, W. Ted",discrete math,99,No. 49 (Jan. 2019),No reviews yet.
Precalculus,"Howard, Paul K. < Mahavier, W. Ted",precalculus,132,No. 48 (Dec. 2018),No reviews yet.
An Inquiry-Based Introduction to Proofs,"Hefferon, Jim",foundations,33,No. 47 (Sept. 2018),No reviews yet.
One-Semester Real Analysis,"Crisman, Karl-Dieter",analysis (real),32,No. 46 (Oct. 2017),No reviews yet.
Euclidean Geometry: An Introduction to Mathematical Work,"Hitchman, Theron",geometry,73,No. 45 (Mar. 2017),No reviews yet.
An Introduction to Order Theory,"French, Zack; Hart, James",lattice theory,49,No. 44 (Mar. 2017),No reviews yet.
Introduction to Point-Set Topology,"Fuchs, Shay",topology,38,No. 43 (Jan. 2017),No reviews yet.
Introduction to Advanced Mathematics,"Baker, B.J.",foundations,71,No. 42 (May 2016),No reviews yet.
Point-Set Topology,"Clark, Lisa Orloff",topology,28,No. 41 (Apr. 2016),No reviews yet.
Topology Notes,"Person, Laura J.",topology,57,No. 40 (Jan. 2016),No reviews yet.
